"","cat","word","n","date","institution","tf","idf","tf_idf"
"226","Grants","onboarded",8,2024-01-20,"IKEA Foundation ",0.000207012550135852,0.693147180559945,0.00014349016546719
"227","Grants","ppps",8,2024-01-20,"IKEA Foundation ",0.000207012550135852,0.693147180559945,0.00014349016546719
"228","Grants","rivm",8,2024-01-20,"IKEA Foundation ",0.000207012550135852,0.693147180559945,0.00014349016546719
"229","Grants","tendered",8,2024-01-20,"IKEA Foundation ",0.000207012550135852,0.693147180559945,0.00014349016546719
"230","Grants","tenderned",8,2024-01-20,"IKEA Foundation ",0.000207012550135852,0.693147180559945,0.00014349016546719
"231","Learnings","bureau",26,2024-01-20,"IKEA Foundation ",0.000205270720500229,0.693147180559945,0.000142282821166242
"232","Learnings","hosting",26,2024-01-20,"IKEA Foundation ",0.000205270720500229,0.693147180559945,0.000142282821166242
"233","Learnings","insecurity",26,2024-01-20,"IKEA Foundation ",0.000205270720500229,0.693147180559945,0.000142282821166242
"234","Learnings","ktda",26,2024-01-20,"IKEA Foundation ",0.000205270720500229,0.693147180559945,0.000142282821166242
"235","Learnings","mwea",26,2024-01-20,"IKEA Foundation ",0.000205270720500229,0.693147180559945,0.000142282821166242
"236","Learnings","onions",26,2024-01-20,"IKEA Foundation ",0.000205270720500229,0.693147180559945,0.000142282821166242
"237","Learnings","reserve",26,2024-01-20,"IKEA Foundation ",0.000205270720500229,0.693147180559945,0.000142282821166242
"238","Learnings","supporters",26,2024-01-20,"IKEA Foundation ",0.000205270720500229,0.693147180559945,0.000142282821166242
"239","Learnings","woreda",26,2024-01-20,"IKEA Foundation ",0.000205270720500229,0.693147180559945,0.000142282821166242
"240","Learnings","yields",26,2024-01-20,"IKEA Foundation ",0.000205270720500229,0.693147180559945,0.000142282821166242
