,cat,word,n,date,institution,tf,idf,tf_idf
259,Grants,initiative,70,1/18/2024,IKEA Foundation ,0.00181136,0.405465108,0.000734443
260,Learnings,national,226,1/18/2024,IKEA Foundation ,0.001784276,0.405465108,0.000723462
261,Learnings,outcomes,225,1/18/2024,IKEA Foundation ,0.001776381,0.405465108,0.000720261
262,Learnings,ethiopia,83,1/18/2024,IKEA Foundation ,0.000655287,1.098612289,0.000719907
263,Grants,certification,68,1/18/2024,IKEA Foundation ,0.001759607,0.405465108,0.000713459
264,Grants,participants,68,1/18/2024,IKEA Foundation ,0.001759607,0.405465108,0.000713459
265,Grants,cgcc,25,1/18/2024,IKEA Foundation ,0.000646914,1.098612289,0.000710708
266,Grants,delhi,25,1/18/2024,IKEA Foundation ,0.000646914,1.098612289,0.000710708
267,Grants,sakhi,25,1/18/2024,IKEA Foundation ,0.000646914,1.098612289,0.000710708
268,About,communities,2,1/18/2024,IKEA Foundation ,0.001751313,0.405465108,0.000710097
269,About,drug,2,1/18/2024,IKEA Foundation ,0.001751313,0.405465108,0.000710097
270,About,fairness,2,1/18/2024,IKEA Foundation ,0.001751313,0.405465108,0.000710097
271,About,hospitality,2,1/18/2024,IKEA Foundation ,0.001751313,0.405465108,0.000710097
272,About,judgement,2,1/18/2024,IKEA Foundation ,0.001751313,0.405465108,0.000710097
273,About,jurisdictions,2,1/18/2024,IKEA Foundation ,0.001751313,0.405465108,0.000710097
274,About,nany,2,1/18/2024,IKEA Foundation ,0.001751313,0.405465108,0.000710097
275,About,nearest,2,1/18/2024,IKEA Foundation ,0.001751313,0.405465108,0.000710097
276,About,nhuman,2,1/18/2024,IKEA Foundation ,0.001751313,0.405465108,0.000710097
277,About,nintroduction,2,1/18/2024,IKEA Foundation ,0.001751313,0.405465108,0.000710097
278,About,nour,2,1/18/2024,IKEA Foundation ,0.001751313,0.405465108,0.000710097
279,About,nprogrammes,2,1/18/2024,IKEA Foundation ,0.001751313,0.405465108,0.000710097
280,About,observes,2,1/18/2024,IKEA Foundation ,0.001751313,0.405465108,0.000710097
281,About,sexual,2,1/18/2024,IKEA Foundation ,0.001751313,0.405465108,0.000710097
282,About,spirit,2,1/18/2024,IKEA Foundation ,0.001751313,0.405465108,0.000710097
283,Learnings,including,221,1/18/2024,IKEA Foundation ,0.001744801,0.405465108,0.000707456
284,Grants,instrument,67,1/18/2024,IKEA Foundation ,0.00173373,0.405465108,0.000702967
285,Learnings,program,219,1/18/2024,IKEA Foundation ,0.001729011,0.405465108,0.000701054
286,Learnings,figure,217,1/18/2024,IKEA Foundation ,0.001713221,0.405465108,0.000694651
287,Grants,capacity,66,1/18/2024,IKEA Foundation ,0.001707854,0.405465108,0.000692475
288,Grants,case,66,1/18/2024,IKEA Foundation ,0.001707854,0.405465108,0.000692475
289,Grants,scale,66,1/18/2024,IKEA Foundation ,0.001707854,0.405465108,0.000692475
290,Grants,biz,24,1/18/2024,IKEA Foundation ,0.000621038,1.098612289,0.00068228
291,Grants,increased,65,1/18/2024,IKEA Foundation ,0.001681977,0.405465108,0.000681983
292,Grants,sectors,65,1/18/2024,IKEA Foundation ,0.001681977,0.405465108,0.000681983
293,Learnings,energy,212,1/18/2024,IKEA Foundation ,0.001673746,0.405465108,0.000678646
294,Learnings,consumption,211,1/18/2024,IKEA Foundation ,0.001665851,0.405465108,0.000675444
295,Grants,small,64,1/18/2024,IKEA Foundation ,0.0016561,0.405465108,0.000671491
296,Grants,counselling,63,1/18/2024,IKEA Foundation ,0.001630224,0.405465108,0.000660999
297,Grants,future,62,1/18/2024,IKEA Foundation ,0.001604347,0.405465108,0.000650507
298,Grants,development,61,1/18/2024,IKEA Foundation ,0.001578471,0.405465108,0.000640015
299,Grants,years,61,1/18/2024,IKEA Foundation ,0.001578471,0.405465108,0.000640015
300,Learnings,year,198,1/18/2024,IKEA Foundation ,0.001563215,0.405465108,0.000633829
